Date;NAAIM Number;;;;;;;;;;;;;;;;;;;;;;;;
23/11/2022;60,29;;;;;;;;;;;;;;;;;;;;;;;;
30/11/2022;64,36;;;;;;;;;;;;;;;;;;;;;;;;
7/12/2022;55,69;;;;;;;;;;;;;;;;;;;;;;;;
14/12/2022;71,6;;;;;;;;;;;;;;;;;;;;;;;;
21/12/2022;39,35;;;;;;;;;;;;;;;;;;;;;;;;
28/12/2022;43,48;;;;;;;;;;;;;;;;;;;;;;;;
4/1/2023;38,79;;;;;;;;;;;;;;;;;;;;;;;;
11/1/2023;45,31;;;;;;;;;;;;;;;;;;;;;;;;
18/1/2023;65,07;;;;;;;;;;;;;;;;;;;;;;;;
25/1/2023;75,23;;;;;;;;;;;;;;;;;;;;;;;;
1/2/2023;78,37;;;;;;;;;;;;;;;;;;;;;;;;
8/2/2023;85,4;;;;;;;;;;;;;;;;;;;;;;;;
15/2/2023;81,43;;;;;;;;;;;;;;;;;;;;;;;;
22/2/2023;57,09;;;;;;;;;;;;;;;;;;;;;;;;
1/3/2023;47,41;;;;;;;;;;;;;;;;;;;;;;;;
8/3/2023;60,11;;;;;;;;;;;;;;;;;;;;;;;;
15/3/2023;41,92;;;;;;;;;;;;;;;;;;;;;;;;
22/3/2023;53,21;;;;;;;;;;;;;;;;;;;;;;;;
29/3/2023;65,15;;;;;;;;;;;;;;;;;;;;;;;;
5/4/2023;72,89;;;;;;;;;;;;;;;;;;;;;;;;
12/4/2023;58,71;;;;;;;;;;;;;;;;;;;;;;;;
19/4/2023;78,26;;;;;;;;;;;;;;;;;;;;;;;;
26/4/2023;50,81;;;;;;;;;;;;;;;;;;;;;;;;
3/5/2023;67,01;;;;;;;;;;;;;;;;;;;;;;;;
10/5/2023;65,22;;;;;;;;;;;;;;;;;;;;;;;;
17/5/2023;59;;;;;;;;;;;;;;;;;;;;;;;;
24/5/2023;65,51;;;;;;;;;;;;;;;;;;;;;;;;
31/5/2023;53,92;;;;;;;;;;;;;;;;;;;;;;;;
7/6/2023;90,07;;;;;;;;;;;;;;;;;;;;;;;;
14/6/2023;81,66;;;;;;;;;;;;;;;;;;;;;;;;
21/6/2023;83,6;;;;;;;;;;;;;;;;;;;;;;;;
28/6/2023;75,93;;;;;;;;;;;;;;;;;;;;;;;;
5/7/2023;83,11;;;;;;;;;;;;;;;;;;;;;;;;
12/7/2023;93,34;;;;;;;;;;;;;;;;;;;;;;;;
19/7/2023;99,05;;;;;;;;;;;;;;;;;;;;;;;;
26/7/2023;101,82;;;;;;;;;;;;;;;;;;;;;;;;
2/8/2023;78,46;;;;;;;;;;;;;;;;;;;;;;;;
9/8/2023;65,49;;;;;;;;;;;;;;;;;;;;;;;;
