Date;Bullish
26/5/2016;17,75%
2/6/2016;30,17%
9/6/2016;27,83%
16/6/2016;25,35%
23/6/2016;21,97%
30/6/2016;28,91%
7/7/2016;31,06%
14/7/2016;36,87%
21/7/2016;35,43%
28/7/2016;31,25%
4/8/2016;29,79%
11/8/2016;31,29%
18/8/2016;35,56%
25/8/2016;29,42%
1/9/2016;28,60%
8/9/2016;29,75%
15/9/2016;27,94%
22/9/2016;24,83%
29/9/2016;24,00%
6/10/2016;28,79%
13/10/2016;25,47%
20/10/2016;23,74%
27/10/2016;24,75%
3/11/2016;23,64%
10/11/2016;38,89%
17/11/2016;46,65%
24/11/2016;49,89%
1/12/2016;43,78%
8/12/2016;43,12%
15/12/2016;44,66%
22/12/2016;44,61%
29/12/2016;45,57%
5/1/2017;46,20%
12/1/2017;43,64%
19/1/2017;37,01%
26/1/2017;31,58%
2/2/2017;32,80%
9/2/2017;35,80%
16/2/2017;33,09%
23/2/2017;38,46%
2/3/2017;37,91%
9/3/2017;30,00%
16/3/2017;31,17%
23/3/2017;35,28%
30/3/2017;30,22%
6/4/2017;28,30%
13/4/2017;28,97%
20/4/2017;25,71%
27/4/2017;38,05%
4/5/2017;38,07%
11/5/2017;32,73%
18/5/2017;23,85%
25/5/2017;32,86%
1/6/2017;26,92%
8/6/2017;35,43%
15/6/2017;32,27%
22/6/2017;32,65%
29/6/2017;29,71%
6/7/2017;29,58%
13/7/2017;28,24%
20/7/2017;35,48%
27/7/2017;34,46%
3/8/2017;36,11%
10/8/2017;33,67%
17/8/2017;34,17%
24/8/2017;28,10%
31/8/2017;25,00%
7/9/2017;29,28%
14/9/2017;41,29%
21/9/2017;40,14%
28/9/2017;33,33%
5/10/2017;35,60%
12/10/2017;39,77%
19/10/2017;37,93%
26/10/2017;39,64%
2/11/2017;45,05%
9/11/2017;45,10%
16/11/2017;29,35%
23/11/2017;35,49%
30/11/2017;35,95%
7/12/2017;36,88%
14/12/2017;45,00%
21/12/2017;50,50%
28/12/2017;52,65%
4/1/2018;59,75%
11/1/2018;48,67%
18/1/2018;54,11%
25/1/2018;45,45%
1/2/2018;44,77%
8/2/2018;37,03%
15/2/2018;48,52%
22/2/2018;44,65%
1/3/2018;37,28%
8/3/2018;26,40%
15/3/2018;36,84%
22/3/2018;33,23%
29/3/2018;31,94%
5/4/2018;31,90%
12/4/2018;26,09%
19/4/2018;37,78%
26/4/2018;36,91%
3/5/2018;28,40%
10/5/2018;33,51%
17/5/2018;36,68%
24/5/2018;38,56%
31/5/2018;35,02%
7/6/2018;38,93%
14/6/2018;44,78%
21/6/2018;38,72%
28/6/2018;28,45%
5/7/2018;27,86%
12/7/2018;43,05%
19/7/2018;34,66%
26/7/2018;31,52%
2/8/2018;29,11%
9/8/2018;36,36%
16/8/2018;36,17%
23/8/2018;38,46%
30/8/2018;43,50%
6/9/2018;42,22%
13/9/2018;32,09%
20/9/2018;32,04%
27/9/2018;36,22%
4/10/2018;45,66%
11/10/2018;30,61%
18/10/2018;33,94%
25/10/2018;27,97%
1/11/2018;37,93%
8/11/2018;41,28%
15/11/2018;35,09%
22/11/2018;25,25%
29/11/2018;33,88%
6/12/2018;37,94%
13/12/2018;20,90%
20/12/2018;24,86%
27/12/2018;31,55%
3/1/2019;33,02%
10/1/2019;38,46%
17/1/2019;33,53%
24/1/2019;37,66%
31/1/2019;31,76%
7/2/2019;39,87%
14/2/2019;35,10%
21/2/2019;39,32%
28/2/2019;41,63%
7/3/2019;37,39%
14/3/2019;32,42%
21/3/2019;37,30%
28/3/2019;33,20%
4/4/2019;35,02%
11/4/2019;40,29%
18/4/2019;37,56%
25/4/2019;33,52%
2/5/2019;39,02%
9/5/2019;43,12%
16/5/2019;29,82%
23/5/2019;24,71%
30/5/2019;24,79%
6/6/2019;22,53%
13/6/2019;26,84%
20/6/2019;29,51%
27/6/2019;29,59%
3/7/2019;33,16%
11/7/2019;33,61%
18/7/2019;35,93%
25/7/2019;31,74%
1/8/2019;38,44%
8/8/2019;21,66%
15/8/2019;23,18%
22/8/2019;26,64%
29/8/2019;26,13%
5/9/2019;28,64%
12/9/2019;33,13%
19/9/2019;35,34%
26/9/2019;29,37%
3/10/2019;21,37%
10/10/2019;20,31%
17/10/2019;33,62%
24/10/2019;35,60%
31/10/2019;33,98%
7/11/2019;40,30%
14/11/2019;40,72%
21/11/2019;34,24%
29/11/2019;33,64%
5/12/2019;31,72%
12/12/2019;37,63%
19/12/2019;44,09%
26/12/2019;41,89%
